sample_id,time_ms,fsr1,fsr2,fsr3
1797,3648,315,221,242
1798,3650,324,220,245
1799,3652,327,221,243
1800,3654,322,221,243
1801,3656,358,220,244
1802,3658,332,220,244
1803,3660,328,220,246
1804,3662,300,219,244
1805,3664,296,219,243
1806,3666,323,220,244
1807,3668,314,220,246
1808,3670,325,220,244
1809,3672,319,220,246
1810,3674,314,221,245
1811,3676,347,220,245
1812,3678,337,221,245
1813,3680,318,221,244
1814,3682,306,220,245
1815,3684,292,220,243
1816,3686,323,220,246
1817,3688,310,221,245
1818,3690,324,220,244
1819,3692,322,221,246
1820,3694,318,221,244
1821,3696,353,220,246
1822,3698,338,220,245
1823,3700,319,220,244
1824,3702,297,220,244
1825,3704,301,220,246
1826,3706,321,220,240
1827,3708,320,221,247
1828,3710,324,221,246
1829,3712,314,222,246
1830,3714,313,221,245
1831,3716,356,222,246
1832,3718,342,222,245
1833,3720,323,222,245
1834,3722,301,222,245
1835,3724,308,224,245
1836,3726,323,223,245
1837,3728,315,223,246
1838,3730,324,223,246
1839,3732,318,223,246
1840,3734,314,223,245
1841,3736,335,223,246
1842,3738,345,223,246
1843,3740,324,224,244
1844,3742,305,222,244
1845,3744,301,223,243
1846,3746,323,223,245
1847,3748,320,223,243
1848,3750,319,223,246
1849,3752,316,223,243
1850,3754,318,223,245
1851,3756,343,224,246
1852,3758,335,223,247
1853,3760,327,223,245
1854,3762,303,223,246
1855,3764,299,224,244
1856,3766,321,224,247
1857,3768,318,224,244
1858,3770,315,223,246
1859,3772,313,222,245
1860,3774,322,224,247
1861,3776,345,223,247
1862,3778,338,224,247
1863,3780,328,223,248
1864,3782,296,223,246
1865,3784,299,224,244
1866,3786,322,223,247
1867,3788,325,223,247
1868,3790,335,224,245
1869,3792,327,225,246
1870,3794,318,225,248
1871,3796,349,224,246
1872,3798,337,224,243
1873,3800,322,223,246
1874,3802,289,224,246
1875,3804,292,223,244
1876,3806,321,223,246
1877,3808,308,225,248
1878,3810,326,224,245
1879,3812,315,224,246
1880,3814,315,225,244
1881,3816,351,225,247
1882,3818,337,225,244
1883,3820,334,225,247
1884,3822,291,224,244
1885,3824,302,225,247
1886,3826,307,225,245
1887,3828,318,225,248
1888,3830,333,225,245
1889,3832,330,225,247
1890,3834,322,225,245
1891,3836,348,225,245
1892,3838,346,225,243
1893,3840,341,226,245
1894,3842,304,225,244
1895,3844,305,225,241
1896,3846,326,225,243
1897,3848,330,225,243
1898,3850,324,225,243
1899,3852,329,225,243
1900,3854,331,225,241
1901,3856,349,225,244
1902,3858,347,224,241
1903,3860,322,225,243
1904,3862,294,225,243
1905,3864,301,225,243
1906,3866,309,224,241
1907,3868,319,225,242
1908,3870,325,225,243
1909,3872,322,225,241
1910,3874,314,224,241
1911,3876,346,226,240
1912,3878,336,225,240
1913,3880,323,225,239
1914,3882,292,224,239
1915,3884,296,225,240
1916,3886,321,225,241
1917,3888,319,226,239
1918,3890,310,225,238
1919,3892,302,222,239
1920,3894,302,225,234
1921,3896,331,225,237
1922,3898,320,225,239
1923,3900,316,225,237
1924,3902,284,226,237
1925,3904,282,224,236
1926,3906,309,224,237
1927,3908,320,225,235
1928,3910,337,225,235
1929,3912,330,225,234
1930,3914,331,226,234
1931,3916,370,224,234
1932,3918,358,225,233
1933,3920,337,224,233
1934,3922,309,225,232
1935,3924,305,225,233
1936,3926,328,225,232
1937,3928,329,225,233
1938,3930,332,224,233
1939,3932,333,226,234
1940,3934,330,226,234
1941,3936,358,225,234
1942,3938,357,225,235
1943,3940,326,226,235
1944,3942,303,225,234
1945,3944,307,225,233
1946,3946,336,222,235
1947,3948,325,226,234
1948,3950,333,225,232
1949,3952,332,225,232
1950,3954,340,226,232
1951,3956,356,225,232
1952,3958,348,226,229
1953,3960,333,224,228
1954,3962,304,226,227
1955,3964,302,226,229
1956,3966,329,227,229
1957,3968,324,226,228
1958,3970,323,226,228
1959,3972,338,226,226
1960,3974,330,227,226
1961,3976,352,227,226
1962,3978,341,226,224
1963,3980,324,227,221
1964,3982,300,226,221
1965,3984,308,226,221
